text,class
palizzi (giuseppe,author
perez (alonzo),author
pelouse (germain),author
piette (ludovic),author
saint-jean (simon,author
schenck (auguste),author
simonidy (michel),author
vignon (victor),author
vollon (antonie,author
weber (jean),author
willems,author
woutermaertens (e.),author
ziem (felix),author
froment-meurisse,author
mene (p.-s.),author
pradie,author
archeologie - geologie,category
bulletins - revues - collections,category
chasse,category
litterature - histoire et divers,category
musique et musiciens,category
orientalisme,category
philosophie,category
religion,category
sciences occultes,category
theses,category
voyages,category
dore (attribue a gustave,author
diepraam (attribue a arend),author
ecole italienne (xvdeg siecle,ecole
jonkhind (attribue a johan-barthold,author
lairesse (gerard de,author
redoute (attribue a pierre-joseph,author
baudit (amedee,author
bourguignon (louis,author
lewis-brown (attribue a john,author
ecole italienne (xviii siecle),ecole
goya y lucientes (attribue a francesco,author
fixes - faiences - sculptures,category
groupes - pendules - appliques - lustres,category
objets varies - verrerie,category
"antiquites egyptiennes - grecques - romaines
terres cuites objets varies - marbres",category
"cadres - barometres
sculptures",category
piano sieges et meubles,category
"porcelaines de sevres
vincennes, berlin, boissette, paris, saxe",category
"objets de vitrine
du xviii siecle",category
"gravures - dessins
pastels",category
coypel (attribue a charles,author
friant (e),author
astier (paul,author
borione,author
boudin_(genre de,author
brune (ad),author
court (joseph) 1797-1865,author
gaspard dughet (dit le gaspre,author
ecole espagnole xviie siecle,ecole
ecole espagnole xviiie siecle,ecole
ecole espagnole du xviiie siecle,ecole
ecole flamande (debut du xviie siecle,ecole
ecole flamande du xviie siecle,ecole
flandrin (i. j.),author
garofalo (ecole de),author
gerard (baronron,author
huet (gerard),author
hugues (j.-l.),author
panini (ecole de),author
poelenburg (ecole de,author
ricard (l.-g.,author
rigaud (attribue a hyacinthe,author
rosa de tivoli (ecole de,author
toulouse lautrec (attribue a),author
veronese (ecole du,author
bronzes - marbres bois sculptes -- etc.,category
sieges -- meubles,category
romantiques,category
et auteurs contemporains,category
biva (henri,author
girardet (eugene,author
"tapisserie - tapis d'orient
tentures",category
angelica kauffmann (d'apres,author
benwell (d'apres,author
gainsborough (d'apres),author
bellange (h.,author
deveria,author
gerbaud (a.,author
chigot (eug.),author
frere (ch.-ed.,author
des fontaines,author
gautier (a.),author
goubie (r.),author
henner (genre de),author
de penne (01.),author
planquette (felix,author
eisen (attribue a,author
flieger (attribue a s. de),author
kessel (attribue a van),author
rubens (attribue a,author
wallaert (p.,author
wouwermans (attribue a),author
"etoffes - tapisseries
tapis d'orient",category
"bronzino
(ecole du)",author
"watteau
(d'apres)",author
porcelaines faiences anciennes,category
miniatures objets de vitrine,category
objets divers argenterie - glaces,category
sculptures - bronzes pendules - lustres,category
"ameublement de salon
sieges anciens",category
"meubles anciens
et de style",category
"etoffes, rideaux tapis d'orient",category
elle aura lieu au comptant,noise
les acquereurs paieront 15 pour cent,noise
"aquarelles, gouaches
pastels, dessins",category
bertin (r.,author
leger (fernand),author
wahanin (e.,author
baraduc (jeanne,author
boggio (emile,author
vignon,author
"dessins - aquarelles
gravure",category
andrieux (clement-auguste),author
bergh (v. van den),author
callot (attribue a jacques,author
"gerardet
(eugene)",author
monet,author
prudhon (attribue a pierre-paul),author
"schenau
(j.-e.-z.)",author
"bilcoq
(m.-a.) paris 1755 + 1838",author
"breemberg
(bartholomaus) deventer 1599 + 1659",author
"bruandet
(lazare)",author
colin de coter,author
decamps (attribue a alexandre),author
drouais (ecole de francois-hubert,author
"dufeu
(e.)",author
"barbizon
(ecole de)",author
"ekels le vieux
(jan) : amsterdam 1724 + 1781",author
"faivre
(abel)",author
"houckgeest
(gerard-jorisz) ne a la haye vers 1600",author
isabey (attribue a eugene),author
"lambrechts
(jean-baptiste) anvers 1680 + apres 1750",author
loo (ecole de jean-baptiste,author
"mabuse (ecole de gossaert, dit)",author
"stevens
(alfred)",author
"titien (ecole de vecelli, dit le)",author
troyon (attribue a c.),author
"velasquez
(attribue a)",author
argenterie etuis a cigarettes pieces de collection,category
"bronzes - fourrures
glaces",category
taverny,author
van poel (attribue a,author
vestier,author
"aertsen
(genre de pieter)",author
"bueckelaer
(ecole de joachim)",author
defrance (leonard,author
"ducq
(attribue a jacob)",author
"duplessis
(attribue a joseph silfrede)",author
"ecole flamande
* (xviie siecle)",ecole
ecole de haarlem,author
"ecole lombarde
(vers 1600)",ecole
"furini (attribue a francesco, dit le sciamexoui)",author
giordand (attribue a lucas dit fa presto),author
goyen genre de jan-josefoz van),author
hoogstraten (ecole de s. van),author
keerincy (ecole d'alexandrie),author
"morales
(attribue a luis, dit el divino)",author
"neufchatel (genre de nicolas, dit lucidel)",author
"oostsanen (ecole de jacob, cornelisz, van)",author
pillement (jeandeux pendants.,author
poel (egbert-lieveusz van den1621 + 1664,author
"quast
(genre de pieter jansz)",author
"salviati (attribue a francesco dei rossi, dit)",author
"teniers
(d'apres david le jeune)",author
"tiepolo
attribue a grovanni-domenico)",author
"tintoret
ecole de jacobs robuste, dit le)",author
"verheyden (matthaus)
(1700 + 1776)",author
vermeulen (andries(1763 + 1814),author
"wet
(attribue a jan de)",author
"objets varies
gas",category
boudin (eug.),author
garrido,author
hackert (j.-ph.,author
lemoyne (genre de),author
nardi (t.),author
"valentin (style de j. de boullongne, dit le)",author
valentin (style de j.),author
velasquez (style de,author
"objets varies ceramique - bois sculptes - bronzes
glaces - frigidaire",category
monnaies feodales et etrangeres,category
monnaies diverses,category
medaillons de david d'angers,category
jetons,category
papier monnaie,category
premiere partie,noise
deuxieme partie,noise
livres illustres romantiques & modernes,category
troisieme partie,noise
editions originales,category
xixdeg et xx siecles,noise
"gravures - dessins - tableaux
anciens et modernes",category
berghem (d'apres),author
levy-dhurmer,author
"mols (robert)
(1848-1903)",author
desportes fils,author
"tapisseries anciennes
tapis d'orient",category
regulateur dentelles - chales de l'inde,category
objets varies sculptures - glaces,category
"bronzes fers forges
cuivres - pendules appareils d'eclairage",category
alix (pierre-michel),author
manet (attribue a auguste,author
baudeman,author
bellanger (adhemar-paul,author
many benner,author
chaude (georges,author
david (georgette,author
ecole. francaise (xix(r) siecle),ecole
gebhardt (max,author
peltier (henry,author
winkler (georges,author
faience - porcelaine - verrerie,category
etoffes et broderies anciennes,category
"premiere vacation mercredi 25 mars 1942, salle 9",noise
"deuxieme vacation jeudi 26 mars 1942, salle 9",noise
le second jour de la mobilisation generale lundi 3 aout 1914,noise
"reunions de bons volumes
indiques par categories et divisibles au gre des acquereurs",category
sommaire,noise
"exposition du 16 au 23 mars 1942 chez m. georges andrieux
expert pres les douanes francaises malesherbes, paris-xviie",noise
epoque han,author
epoque tang,author
ceramique europeenne,category
pierres,category
belle (genre d'alexis-simon.),author
"boucher (genre de francois)
deux pendants",author
"hersent
(attribue a louis)",author
"mignard
(genre de pierre)",author
mille (ecole de francisque),author
"poel
(genre d'egbert van der)",author
"poussin (ecole de gaspard dughet, dit le guaspa)",author
"santerre
(ecole de jean-baptiste)",author
ceramiques de la chine,category
hugard,author
daynes-grassot,author
domergue (g.),author
le fournis,author
patricot,author
schreiber,author
vogler,author
bronzes. cuivres,category
"fouilles de nehavend, du luristan",category
faiences de rhages a decor lustre,category
faiences provenant d'amol,category
faiences de sultanabad,category
faiences de veramin,category
faiences de provenances diverses,category
provenant des fouilles du luristan,category
"verres syro-egyptien, syriens",category
verres persans,category
"enluminures, pages de manuscrits",category
laques de la perse,category
"tissus persans, soies lamees et brochees, toiles imprimees",category
"gravures - dessins - pastels
tableaux",category
bonnington (attribue a,author
boucher (f.,author
de marne (ecole de),author
duvieux (h.),author
jourdain (henri,author
lagrenee (attribue a,author
lallemand (ecole de),author
"mongin (attribue a antoine-pierre)
1761 + 1827",author
mozin (c.,author
saint-michel (comte de,author
"vecelli (ecole du tiziano, dit titien1489 + 1576",author
ivoires - objets de vitrine,category
"objets divers instruments de precision
glaces",category
tapis d'orient : tapis savonnerie,category
gilet de l'empereur,noise
dickinson (w.),author
"kauffman (a., d'apres",author
"lancret (n., d'apres)",author
"lavreince (n., d'apres)",author
allegrain (et.(1644-1736),author
"amand (jacques)
(1730-1769)",author
"caron (l.)
(xviiie siecle)",author
"daubigni (j.)
(xviiie siecle)",author
"desprez (l.-j.)
(1740-1804)",author
delafosse (j.-ch.(1734-1689),author
"duche de nancy
(xviiie siecle)",author
"ps
gamelin (jacques)
(1738-1803)",author
"le
aspa
sisdeux illustrations pour le voyage du jeune anacharsis",noise
"guardi (giacomo)
(xviiie siecle)",author
"guerchin (barbieri, dit le",author
lallemand (j.-b.,author
"due
lavallie-poussin ( attribue a et. de)
(rouen, 1740-1790)",author
"leclerc
(xviiie siecle)",author
"lenfant (pierre)
(1704-1787)",author
"marot (daniel)
(paris, 1655-1718)",author
"georges michel (attribue a)
(1763-1843)",author
"righini parmegiano (pietro)
(1681- 742)",author
"ricci (marco)
(bellune, 1679-1729)",author
"soldini
(xviiie siecle",author
"omas
thaumont (thomas de)",author
"tiepolo (dominique(venise, 1727-1804)",author
"oren
a
tiepolo (lorenzo), fils de j.-b. tiepolo
(1737-1772)",author
tierce (j.-b.(1741-....),author
"vernet (carle)
(1758-1838)",author
"watelet (ci.)
(1718-1786)",author
"e
watteau (genre d'antoine)",author
gouaches et dessins anciens,category
"gravelot (h., bourguignon, dit)
(paris, 1699-1773)",author
"hoin (claude)
(dijon, 1750-1817",author
leprince (attribue a j.-b.)(1733-1781),author
"ou
aun
moreau (louis, dit l'aine(paris, 1740-1806)",author
"parizeau (p.)
(paris, 1740-1801)",author
"pillement (jean)
(lyon, 1707-1808)",author
"brill (paul), attribue",author
"van brouck
(ecole flamande) (xvie-xviie siecles)",author
"ecole de clouet
(xvie siecle)",author
"danloux (h.-p.)
(paris, 1753-1809)",author
"demarne (jean-louis)
(bruxelles, 1744 ; paris, 1829)",author
"ecole d'anvers
(fin xvie siecle)",ecole
ecole de jean fyt,author
greuze (attribue a j.-b.),author
hilaire (attribue a j.-b.(17.-1822),author
"ecole italienne
(vers 1730)",ecole
"le clerc des gobelins
(paris 1344-1785)",author
"mieris (willem van)
(leyde, 1662-1747)",author
"piola
(genes, xviie siecle)",author
"guido reni (attribue a)
(bologne, 1575-1642)",author
"ricci (attribue a sebastiano)
(venise, 1662-1734)",author
"ola
ono es.
russell (john)
(guilford, 1745 ; londres, 1806)",author
"swebach (j.), dit fontaine
metz, 1769 ; paris, 1823)",author
"ecole du titien
(xvie siecle)",ecole
"vernet (joseph)
(avignon, 1714 ; paris, 1789)",author
"zoffany (attribue a johann)
(ratisbonne, 1733 ; strand, 1810)",author
tableaux et dessins modernes,category
"au
berton (paul-emile)",author
bonington (r.-p.,author
van dael,author
decamps (gabriel,author
"ron
lo
de
gros (baron antoine",author
hedouin,author
lepine (louis),author
"ux
plassan (a.)
(bordeaux, 1817 ; paris, 1903)",author
objets d'art europeen,category
spath fluor,author
afrique,category
amerique,category
oceanie,category
"dessins - aquarelles - gouaches
gravures - miniatures",category
ecole allemande (xvideg siecle),ecole
boutet (gabriel),author
carmontelle,author
"carmontelle (louis carrogio, dit)",author
chintreuil iattribue a),author
dreux (attribue a alfred de),author
dumontier (genre d'etienne),author
gerard (attribue au baron,author
huet (attribue a jean-baptise,author
jeaurat (attribue a etienne),author
lalaisse (f.-h.),author
marie (andre,author
pierre (attribue a j.-b.,author
pernet (attribue a),author
rochard,author
saladin (eugene,author
veyrassat jules-jacques),author
villeret (francois-etienne),author
arnoux (michel),author
beerstraaten (attribue a abraham van),author
bertin (attribue a j.-v.),author
bompard (maurice,author
callet (antoine-francois,author
"courtois (attribue a jacques, dit le bourguignon)",author
daudin (henri,author
dreux (genre de alfred de),author
dyck (cede a antoine van),author
ecole belge,ecole
ecole flamande (xvit siecle),ecole
ecole flamande (xvio siecle,ecole
ecole italienne (xvii siecle,ecole
ecole italienne (xviiio siecle),ecole
glendening (a.-a.,author
herring (j.-f.),author
kauffmann ihermannhambourg 1808-1889,author
lepicie (attribue a bernard),author
marinus van roemerswaelen (ecole de),author
"preti (attribue a mattia, le calabrese)",author
primatice (ecole du,author
romney (ecole de george),author
ward (e.-m.),author
"monnaies grecques antiques
en argent",category
"monnaies royales francaises
en or",category
bronzes - bois sculpte,category
"bilde
dette
xuaziaat - 2012220 - 22huvaao",noise
ecole de boudin,author
f. boucher (ecole de,author
ecole francaise du xvii siecle,ecole
"lorrain claude (ecole de)
2tdootd sti 21911punu",author
j. vernet (ecole de),author
"miz iivx uo iziaoma
003",noise
jivivizijati jiog,noise
"sculptures objets divers 1ta glaces
son
d
bara aca a
la",category
"30
24utliuo2 il",noise
porcelaines vi paiences,category
"2091 s oldst 9b aiot sl y 1850 ng alalla 2014
meubles anciens et de style
e this vitog volbob (19 oldot --- .811 alle in",category
"audin18 100b 6 ,291buell 296 virgeaicot 09 ungband
tapis d'orient pirms etapisseries d'aubusson
x du xviiie siecle",category
eshwziova 23043143,noise
tv 3 ia,noise
ssr,noise
"320 h93 2 ol.m
anog o haqxa",noise
eaux-fortes modernes,category
"pastels - aquarelles - gouaches
dessins",category
bain (marcel,author
bartolozzi (dit battle,author
bonvin (francois),author
bottini (george),author
boulard (auguste),author
brouet (auguste,author
boussingault (jean,author
colin (gustave),author
conrad-kickert,author
contel (jean-charles,author
corot (.-b.-camille,author
costel,author
crotti (jean),author
daubigny (charles-francois,author
david (attribue a jules,author
deshayes (frederic),author
desire-lucas (louis),author
dubreuil (pierre),author
duchamp (suzanne),author
dufau (helene,author
dufrenoy (georges,author
espagnat (georges d'),author
fournier (gabriel) brie,author
frelaut (jean),author
gagliardini,author
garets (des,author
garneray (louis),author
goerg (edouard,author
hugo (victor),author
gimmi (willy,author
jaulmes (g.-l.,author
jeanes (j.-e.),author
jongkind (john-barthold),author
lacoste (charles),author
lagar (celso),author
maillol (aristide),author
mare (andre,author
marchand (jean),author
michel (georges,author
modigliani (amedeo),author
monvoisin (r.-o.,author
muller,author
osterlind (anders),author
oudot (roland),author
rossi (joseph),author
somm (henry,author
steinlen (th.-a.),author
ten cate (s.),author
thevenet (jacques),author
verdilhan (andre,author
vlaminck (m. de,author
vuillard (edouard),author
zadavo,author
zandomeneghi (f.,author
lemoine (attribue a,author
etoffes tapis - tapisseries,category
boucher (f.) -- fragonard (d'apres h.),author
callot (j.,author
delacroix (e.),author
desrais. -- caresme (d'apres,author
gravures anglaises,category
jeux,category
levilly,author
pernet (d'apres,author
scenes de moeurs et de genre,category
solomon (d'apres a.),author
watteau (d'apres a.) ete,author
bombled,author
ecole russe,ecole
leslie,author
roche,author
rubens (d'apres,author
vernet (attribue a h.),author
objets divers - sculptures,category
"bronzes - pendules - lustres
glaces",category
"aquarelles gouaches
gravures",category
"ecole francaise du xix"" siecle",ecole
buttura e. f,author
job (attribue a),author
lesueur (attribue a eustache),author
a. l. girodet trioson,author
greuze (ecole de jean-baptiste.),author
j. skimer prout,author
ecole francaise fin xviiie siecle,ecole
brascassat (raymond,author
clair goyot (e.,author
corot (attribue a),author
dutillois,author
dyck (ecole d'antoine.),author
fragonard j: h. (d'apres),author
"genisson (jules-victor)
ecole belge 1805-1860. louvain",author
granet (attribue a,author
guerrier (mademoiselle,author
jouyette (louis,author
lancret nicolas (attribue a,author
martinez (paul),author
mignard pierre ecole de,author
onslow,author
qudry (ecole de jean-baptiste),author
pavil (elie anatole,author
puigrache-wagner,author
robert (genre de leopold,author
salvator rosa (attribues a),author
santerre j. b. (attribue a,author
"schouman (aert)
dordrecht 1710-1792 la haye",author
smetz (l.,author
tocque (ecole de louis,author
verboeckhoven (eugene,author
victoors (attribue a jan,author
wogner (f.,author
pendulettes et pendules,category
"meubles de l'inde
des xviie et xviiie siecles",category
dessins & pastels,category
ecole de j.-b. greuze,author
"knipers (d.)
(dordrecht, 1732-1796)",author
lavreince (genre de),author
leprince (j.-b.(1733-1781),author
ellenrieder (marie),author
"ecole d'anvers
(xviie siecle)",ecole
"ecole venitienne
(vers 1830)",ecole
ecole de j.-b. hilaire,author
porcelaines montees bronzes & objets divers,category
soieries anciennes & tapisseries,category
pastel - tableaux,category
brown (john lewis,author
sculptures - bois - marbre,category
"gravures - aquarelles
tableaux anciens et modernes",category
clouet d'anvers (attribue a),author
ecole hollandaise (xvie siecle),ecole
ecole hollandaise (debut du xviiie siecle),ecole
mangeant,author
oostens (j. van,author
poussin (ecole de,author
poussin (ecole de),author
ribera (attribue a),author
will (frank,author
martin (claude-henri,author
quelvee (francois,author
dentelle - fourrures,category
"objets d'ameublement sutj
anciens et modernes",category
bandeaux,category
givassian,author
mango,author
promazzi,author
richard,author
porcelaines - cristaux objets divers - lustres,category
metal - argenterie,category
"linge de table et de maison
fourrures",category
tapis - rideaux stores - divers,category
tableaux modernes - aquarelles,category
arus (r.,author
barbasan lagueruela,author
barucci,author
benoit (leonard,author
borght (n. van der),author
cachoud (f.,author
eeckhout (francois,author
griveau (lucien),author
griveau (lucien,author
lepoittevin,author
le roy (w.,author
mignon (lucien,author
montader,author
pecrus (c.,author
servin (a.,author
vanzeben (j.,author
vinson-cheret,author
peintures chinoises,category
"emaux cloisonnes et bronzes
de la chine et du japon",category
"laques sculptes et incrustes
de la chine",category
broches,category
sautoirs chaines - pendentifs,category
boucles d'oreilles,category
montres - bracelets-montres,category
"epingles de cravates - boutons
divers",category
"decorations - toiles peintes
tableaux",category
bois sculptes ecrans - paravent - glaces,category
"sculptures en platre, terre cuite et marbre",category
vitrines - meubles,category
ecole francaisz (xix siecle),ecole
ecole fr. uncaise,ecole
p. marilhat,author
nielsen (carl,author
"gravures, gouaches
aquarelles",category
"ecole francaise w parlingas
(xviie siecle)",ecole
alil innocenti,author
"ecole allemande
(debut xixe siecle)",ecole
burch,author
"ecole de p. de champagne
(xviie siecle)",author
"ecole francaise
(xville siecle)",ecole
ecole italienne (fin xvie siecle),ecole
d'apres rembrandt,author
ecole de teniers,author
viard,author
metal argente et fantaisie,category
bronzes d'art,category
luminaires et pendules,category
18 lettres autographes,category
importante correspondance,category
a ce dossier sont ajoutees,noise
de la chine et du japon,category
"vente du 20 avril, salle 6
succession de monsieur p...",noise
livres romantiques et modernes,category
ecole francaise (xviii siele),ecole
ecole italienne (xviii siecle,ecole
clouet (genre des,author
gelder (ecole d'aert de,author
laar- (ecole de peler de),author
"lely (ecole de pieter faes, dit)",author
mieris (ecole,author
rigaud (attribue a hyacinthe jua,author
"ysenbrandt (ecole d'adriaen)
9. sim sonung",author
pendule sieges et meubles,category
"tapis d'orient
tapisserie ancienne",category
raffaelli (j.-f.,author
"boucher (d'apres)
s",author
drax (d'apres,author
pater (d'apres,author
hubert robert (attribue a,author
livre,category
"porcelaines - sculptures
pendules boite en or",category
tapisseries tapis d'orient,category
accessoires divers,category
"vetements d'hommes et de femmes
anciens et modernes",category
etoffes anciennes et modernes,category
craig (franck).,author
dabadie (henri),author
eteve,author
faux - froidure (e.),author
febvre,author
fielding (newton),author
foreau (henri).,author
fortuney,author
frank - will,author
friesz (othon),author
gervex (henri,author
isabey (e.).,author
hervier (adolphe),author
legout (gerard),author
ottomann (henry),author
regnault (henri),author
vogler (paul).,author
ambrosini,author
barry,author
bastien lepage,author
beltram y masses,author
berchere (narcisse),author
bergeret,author
blanchard,author
brasi,author
cazin (j.-ch.).,author
cormier (fernande).,author
corneau (eugene),author
cornil,author
dabadie,author
dehelly (jean),author
fabinelli,author
fourie (albert).,author
georges,author
isabey,author
jeanron et jacque,author
laboureur,author
lebas (hippolyte).,author
lebas (hippolyte),author
lehmann (leon),author
luce (maximilien).,author
naillaud,author
nesle,author
morin (louis).,author
muenier (jules-alexis),author
ott mann (henri),author
ott mann,noise
picard - ledoux,author
pinheiro,author
renie,author
rotig (g. f.),author
thevenet,author
turlurey (e.).,author
volumes,category
collausura tableaux gravures dessins,category
bouret: (a.,author
chatelet,author
", ecole anglaise, xix: siegles1",ecole
ecole francaisel jis:atio,ecole
ecole trawd } sonra -ecole franaronino scon,ecole
"ecole francaise
3. tasub esng",ecole
ecole francaise xvii siecle,ecole
ecole hollandaise1978ssoir,ecole
lancret (ecole de,author
pelletier (l.),author
ulysse (1822 y,author
"ameublement
sieges",category
soieries - tapis,category
epoques tao-kuang et posterieures.,author
laque,category
quartz rose.,category
lapis lazuli,category
flacons tabatieres,category
divers et armes,category
linge garni de dentelle,category
monnaies anciennes,category
angelica kauffman (d'apres,author
dubant (p.,author
hayell (w.,author
van marcke (jean,author
wautours,author
benassit,author
bombler,author
defaux (a.,author
elliur,author
endris (ch.,author
frappa (jose,author
herbet (e.-b.,author
meissonnier,author
quinton (c1.,author
verriest (l.-f.,author
ecole suisse (xviiie siecle,ecole
berghem (ecole de),author
boucher (d'apres francois),author
canaletto (genre de),author
lajoue (ecole de,author
largilliere (ecole de),author
van loo (ecole de,author
valin (ecole de,author
tableaux aquarelles - gravures,category
valette,author
guillaume (albert,author
boullaire (j.,author
giacomotti,author
lalaisse,author
richet,author
objets varies metal argente - verrerie,category
bronzes - fers forges,category
"ouvrages sur l'histoire les religions, les antiquites
les murs, les costumes et les langues des habitants des cinq parties du monde",category
timbales,category
de forme tulipe a piedouche,noise
goute-vin,category
a. de andreis (attribue a,author
balandre,author
benoist,author
ledieu (philippe),author
londonio (attribue a,author
ortega,author
surand,author
vassari (e.,author
vernier (emile,author
veyrassat (attribue a,author
"ecole italienne (ecole de bologne, xvie siecle)",author
art italo-byzantin,category
volets de triptyque,category
brueghel (ecole des pieter),author
"objets de vitrine porcelaines - eventails
divers",category
argenterie or - metal argente,category
glaces - lustre meubles anciens et modernes,category
"ecole francaise
enluminures",ecole
"dughet (gaspard) dit le guaspre
rome 1613 + 1675",author
durameau (louis-jean-jacquesparis 1733 + 1796,author
gartner (j.) deux pendants,author
"guerchin (giovanni-francesco barbieri; dit le)
(attribue a)",author
hammen,author
"jacques (pierre) dit d'angouleme
reims vers 1520 + 1596",author
leprince (jean-baptiste(attribue a),author
nigg (j.) deux pendants,author
"primaticcio (francesco)
bologne 1504 + 1570 paris",author
verryk (t.),author
"beerstraten (jan-abrahams)
(attribue a)",author
begeyn (abraham) ou bega,author
"bellotto (bernardo)
(attribue a)",author
"bramer (leonard)
delft 1595 + 1674",author
"carlevaris (luca)
(attribue a)",author
"coninxloo (gillis van)
1544 + 1607 anvers",author
"dael (jan frans van)
(attribue a)",author
"deveria (eugene)
(attribue a)",author
ecole flamande (fin du xvie siecle),ecole
ecole italienne (xve siecle,ecole
"eisen (francois)
(attribue a)",author
"gelder (art de)
(attribue a)",author
"ghirlandayo (domenico)
(maniere de)",author
"hanneman (adrian)
1600 + 1671",author
van den hecke (jan) quaremonde 1620 + 1684 anvers,author
hemessen (jan van(attribue a),author
"holbein (hans)
(ecole de)",author
hoogstraten (samuel vandordrecht 1627-1678,author
"jordaens (jacob)
(attribue a)",author
"lenain (mathieu)
(attribue a)",author
matsys (ecole de jean),author
mignon (abraham(attribue a),author
"monnoyer (jean-baptiste)
lille 1634-1699 londres",author
"monnoyer (jean-baptiste)
(attribue a)",author
natoire (charles-joseph(attribue a),author
"pourbus (frans ii)
(attribue a)",author
"rembrandt (harmensz) van rym
(eleve de)",author
"rembrandt van ryn
(ecole de)",author
"rokes dit zorg (henri martin)
1621 + 1682 rotterdam",author
rubens (atelier de p. p.,author
"ruysch (rachel)
(attribue a)",author
savery (roeland(attribue a),author
"savery (roelant-jacobsz)
(attribue a)",author
scheyndel (van),author
"schuppen (jacques)
fontainebleau 1670 + 1751 vienne",author
"snayers (pieter)
anvers 1592 + apres 1667 bruxelles",author
snyders (attribue a franz),author
"sustermans (justus)
(attribue a)",author
terburg (gerard(ecole de),author
troy (jean-francois de(attribue a),author
"vestier (antoine)
(attribue a) e",author
vinci (ecole de leonard de),author
watteau (antoine(ecole de),author
"wicar (jean-baptiste)
lille 1762-1834",author
epoque tao-kouan (1820-1850,author
epoque khang-hi (suite).,author
epoque khang-hi (suite),author
dynastie des ming (suite),author
livres modernes illustres,category
"luo
luo",noise
ceramique objets de vitrine - objets varies,category
barometre - glaces ecrans - cheminee,category
d'orient et d'aubusson,category
g. guilaumet,author
"ecole francaise xviii"" siecle",ecole
andrea del sarto (d'apres,author
biessy (gabriel,author
bonnefoy (henry,author
"bourguignon (ecole de courtois, dit le)",author
brunet (jean),author
charreton (victor,author
coypel (ecole de),author
ecole francaise (fin xviii siecle,ecole
baron gerard (ecole du),author
kossarensky (g. j.),author
lenoing (ecole de,author
madeline (paul,author
martin f,author
poussin (ecole du),author
rigoloto,author
terlikouski (vladimir de),author
viardot (leon),author
tableaux anciens - pastel,category
bergen (attribue a dick van den),author
carriera (genre de rosalba,author
cranach (genre de lucas,author
ecole venitienne (xviiie siecle,ecole
gillemans (attribue a j. p.,author
lenain (ecole des,author
meulen (ecole d'adam-frans van der,author
oudry (attribue a jean-baptiste,author
piazzetta (ecole de giovanni,author
roslin (ecole d'alexandre,author
van loo (ecole de carle,author
bronzes - pendules appareils d'eclairage,category
"ceramique, objets varies",category
"etoffes, tapis d'orient",category
cropeano,author
objets varies verrerie - argenterie,category
estampes - tableaux,category
outamaro,author
ecole hollandaise xvie siecle/,ecole
ecole italienne xvi et xviideg siecle,ecole
cloisonnes,category
tapis de la perse,category
aquarelles - gouaches - pastels,category
de beaumont (edouard),author
de beaumont,author
bellange (hippolyte1800-1866,author
bollaert,author
cheret,author
"claude (jean-maxime)
1824-1904",author
corot (camille),author
deloye (gustave,author
faivre,author
de francisco,author
granville,author
houbron (a.),author
ibels (gabriel),author
laurencin,author
martin (charles),author
pascina,author
pavil (elie,author
piette (ludovic,author
poittevin,author
rochegrosse (georges),author
steinlein,author
brown (j.-l.,author
carpeaux,author
charlemagne,author
cheriane,author
coignard (louis),author
dufau (ch.,author
dupray (henry,author
flandrin (h.,author
des garets (0.,author
goeneutte (norbert),author
goeneutte,author
guinbald (f. de,author
heyrault (louis,author
horrig (?,author
kukstoks (p.),author
kvapil,author
lebourg (charles-albert),author
"lebourg (charles-albert)
1849-1928",author
lefebvre (jules,author
maclet,author
merenciano,author
montezin,author
pissarro (paul-emile),author
rigolot (a.,author
roybet (ferdinand),author
sabbagh (g. h.),author
terechkovitch,author
watts (f. w.,author
wolkonsky (louguinine),author
wolkonsky,author
gravure & dessins,category
"boilly (julien)
(paris, 1796-1874)",author
leprince (d'apres,author
morland (georges,author
pichler (j. peter),author
"1 vc
ca
vitringa (wigerus)
(lenivarden, 1652 ; wirdum, 1721)",author
"demachy (p.-a.(paris, 1723-1807)",author
"vernet (attribue a joseph(avignon, 1714; paris, 1789)",author
"porcelaines, cristaux & opalines",category
"petites boites anciennes
et objets divers",category
"luminaires - sculptures
glaces - pendules",category
epoque yven (1278-1368).,author
sieges et meubles hollandais,category
"aquarelles, gouaches
dessins",category
bianka,author
daubigny (c.-f.,author
gromaire (marcel),author
guillaumin (a.,author
marcoussis,author
alix,author
ceria,author
detthow,author
domingo (franiese,author
gagliardini (julien),author
guillaumin (a.),author
joetts (jules,author
koyanagui,author
luce (max.,author
olesiewicz,author
per krogh,author
van dongen (kees,author
walch,author
le moine (d'apres francois,author
ribeira (attribue a),author
epoque tao-kouan (1820-1850),author
dynastie des ming (1318-1644),author
emaux cloisonnes de la chine,category
corot (camille 1796 + 1875,author
cadres - marbres glaces - ecrans,category
"rideaux - tapisseries
tapis",category
"objets d'extreme-orient
n",category
"art primitif
1",category
poteries,category
bjjoux,noise
"teens
zijaauqa - zauvaio",author
"web 15
gravures - aquarelles",category
"tableaux
atviv ai 30 zvoitiqvod",category
ecole byzantine..,ecole
2cole francaise (xviiideg siecle,noise
ecole francaise (debut xixdeg siecle,ecole
ecole francaise (debut xixdeg siecle),ecole
charlet-(d'apres),author
dardoize (emile,author
fortunya,author
hirschfeld,author
twili,author
landelle (ch.,author
le brun (ecole de),author
lecomte du nouy,author
leroy,author
titien (d'apres le),author
